Table,Status,Rows,Elapsed_sec
ab_base,SUCCESS,232103,6.7747
ab_cross,SUCCESS,803470,20.3509
ab_liner_data,SUCCESS,151,0.0305
ab_points,SUCCESS,9825010,251.9378
ab_pool_details,SUCCESS,3187,0.1258
ab_questions,SUCCESS,3173,0.5140
ab_questions_original,SUCCESS,0,0.0044
action_ticket,SUCCESS,267291,13.3556
artran,SUCCESS,1018972,82.4324
artran_apply,SUCCESS,0,0.0038
artran_detail,SUCCESS,2905707,92.3883
aw_addresses,SUCCESS,0,0.0073
aw_li_zips,SUCCESS,14,0.0132
aw_order,SUCCESS,21656,1.9403
aw_order_detail,SUCCESS,27752,0.9850
aw_process,SUCCESS,0,0.0032
aw_upcharge_conversion,SUCCESS,524,0.0336
backyard_list,SUCCESS,4,0.0097
bank,SUCCESS,2,0.0140
bill_of_lading_detail,SUCCESS,114342,2.0559
bill_of_lading_header,FAILED,0,0.0762
bin_created,FAILED,0,0.3236
bin_label,FAILED,0,0.3276
bin_qty_removed,FAILED,0,0.3272
blue_dot_questions,SUCCESS,506,0.0508
calc_log,SUCCESS,102,0.0151
calc_prep,SUCCESS,132,0.0681
calc_prep_blue_dot,SUCCESS,2,0.0150
calc_prep_comments,SUCCESS,26,0.0230
calc_prep_hardware,SUCCESS,202,0.0293
calc_prep_manf,SUCCESS,55,0.0382
calc_prep_manf_admin,SUCCESS,43,0.0185
calc_prep_rules,SUCCESS,6,0.0123
calc_prep_special_instructions,SUCCESS,0,0.0030
calc_prep_treatment,SUCCESS,45,0.0156
calc_tracking,SUCCESS,5830,0.1518
call_log_calls,SUCCESS,63131,1.9607
call_log_header,SUCCESS,23962,8.7339
call_log_invoices,SUCCESS,6497,0.1531
cancel_charge,FAILED,0,0.0108
carton_types,SUCCESS,45,0.0212
co_op_certificate,SUCCESS,10940,0.3800
co_op_usage,SUCCESS,3381,0.1442
color_upcharge,SUCCESS,55,0.0137
comments,SUCCESS,0,0.0034
comments_h,SUCCESS,90,0.0172
consumer_rebate,SUCCESS,289,0.0366
counter_table,SUCCESS,25,0.0093
country,SUCCESS,117,0.0130
cpu_pickup,SUCCESS,48438,1.4458
cpu_pickup_error,SUCCESS,1892,0.0578
cpu_pickup_prep_id,SUCCESS,117393,2.4185
cs_claim_report,SUCCESS,10,0.0075
cst_errors,SUCCESS,0,0.0043
customer_service,SUCCESS,289086,8.8684
customer_service_detail,SUCCESS,304328,8.7939
cv_production_date_history,SUCCESS,19631,0.6183
cv_production_dates,SUCCESS,14361,0.3814
cvln_to_lncv,SUCCESS,2305,0.4253
Damage_Type,SUCCESS,29,0.0110
dbcr_master,SUCCESS,34,0.0144
dbhc,SUCCESS,1215,0.0456
de_productivity,SUCCESS,0,0.0030
dealer,SUCCESS,32689,18.7727
dealer_admin_contact,SUCCESS,10,0.0245
dealer_bal,SUCCESS,79422,2.6848
dealer_bal_detail,SUCCESS,302311,10.0994
dealer_bal_third,SUCCESS,5067,0.1341
dealer_bought_child_third,SUCCESS,4165,0.1232
dealer_change_form,SUCCESS,1334,0.3282
dealer_comments,SUCCESS,79533,3.6036
dealer_credit_history,FAILED,0,0.0270
dealer_discount,SUCCESS,0,0.0033
dealer_email_address,SUCCESS,24720,2.4789
dealer_file_location,SUCCESS,3621,0.1431
dealer_file_location_financial,FAILED,0,0.3316
dealer_key_target,SUCCESS,494,0.0430
dealer_log,SUCCESS,10,0.0101
dealer_logos,SUCCESS,116,0.0158
Dealer_M,SUCCESS,5010,0.1624
dealer_m_ln,SUCCESS,1285,0.0608
dealer_Magento,SUCCESS,3508,0.1305
dealer_organization,SUCCESS,14,0.0174
dealer_promo_cover,FAILED,0,0.3246
dealer_promo_liner,FAILED,0,0.0490
dealer_promotion,SUCCESS,31478,0.6034
dealer_references,SUCCESS,3521,0.1449
dealer_rules,SUCCESS,202945,8.5551
