Table,Status,Rows,Elapsed_sec,Error
bill_of_lading_header,SUCCESS,62751,4.2461,
bin_created,SUCCESS,0,0.0059,
bin_label,SUCCESS,45,0.0151,
bin_qty_removed,SUCCESS,0,0.0033,
cancel_charge,SUCCESS,8,0.0097,
dealer_credit_history,SUCCESS,57503,1.7447,
dealer_file_location_financial,SUCCESS,273,0.0249,
dealer_promo_cover,SUCCESS,1466,0.0610,
dealer_promo_liner,SUCCESS,3143,0.1423,
dealer_sales_journal,SUCCESS,3,0.0169,
dealer_same_company,SUCCESS,2,0.0125,
dealer_unique_pricing,SUCCESS,1,0.0108,
file_type,SUCCESS,2,0.0097,
flat_rates_h,SUCCESS,44,0.0188,
flat_rates_state_h,SUCCESS,59,0.0109,
hardware_h,SUCCESS,642,0.1398,
lll_users,SUCCESS,466,0.0338,
machine_parts,SUCCESS,326,0.0319,
machine_parts_removed_entry,SUCCESS,1,0.0310,
machine_parts_removed_group,SUCCESS,1,0.0172,
machine_parts_taken_out,SUCCESS,0,0.0033,
machine_production,SUCCESS,4,0.0116,
machine_sewing,SUCCESS,80,0.0203,
prep_claimed_drafting,SUCCESS,2158,0.0602,
prep_file_location,SUCCESS,1336049,79.6953,
prep_linerwall_nobasket,SUCCESS,359,0.0239,
prep_ra_hardware,SUCCESS,233417,12.3336,
product_bluedot,SUCCESS,5,0.0162,
promo_type,SUCCESS,650,0.0562,
que_rtn_dealer_notify_prep,SUCCESS,0,0.0032,
replacement_cover_request,SUCCESS,50352,5.8771,
rtn_bluesheet,SUCCESS,24522,6.9974,
Sales_call_log,FAILED,0,2.2314,"('23000', ""[23000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Violation of PRIMARY KEY constraint 'PK_Sales_call_log'. Cannot insert duplicate key in object 'dbo.Sales_call_log'. The duplicate key value is (chris , 458). (2627) (SQLExecute); [23000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]The statement has been terminated. (3621)"")"
special_instructions,SUCCESS,291,0.0334,
standards,SUCCESS,3550,0.4546,
standards_treatment,SUCCESS,2350,0.0727,
stock_backup,SUCCESS,5982,0.2049,
stock_linked_id_og,SUCCESS,5,0.0117,
stock_master,SUCCESS,2908,0.6751,
syscon,SUCCESS,1,0.0334,
tech_bleep,SUCCESS,81566,1.9351,
tech_treat,FAILED,0,0.0250,"('23000', ""[23000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Violation of PRIMARY KEY constraint 'PK_tech_treat'. Cannot insert duplicate key in object 'dbo.tech_treat'. The duplicate key value is (ALL TEXTURED LInER ). (2627) (SQLExecute); [23000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]The statement has been terminated. (3621); [23000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Violation of PRIMARY KEY constraint 'PK_tech_treat'. Cannot insert duplicate key in object 'dbo.tech_treat'. The duplicate key value is (). (2627); [23000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]The statement has been terminated. (3621); [23000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Violation of PRIMARY KEY constraint 'PK_tech_treat'. Cannot insert duplicate key in object 'dbo.tech_treat'. The duplicate key value is (Tex Tread Meribella Seas). (2627); [23000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]The statement has been terminated. (3621)"")"
treatment_h,SUCCESS,1062,0.1546,
ups_shipping_cost,SUCCESS,61,0.0131,
vendor_purchases_orders,SUCCESS,7462,0.5495,
warranty_header_preinvoiced,SUCCESS,24198,1.2028,
